HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   1

                                           Total_
Obs    geo2000        _TYPE_    _FREQ_    2004_org

  1    Tract 3           1         1            2 
  2    Tract 6           1         1            2 
  3    Tract 10.01       1         1            1 
  4    Tract 12          1         1            1 
  5    Tract 13.02       1         1            1 
  6    Tract 14.02       1         1            1 
  7    Tract 16          1         1            3 
  8    Tract 17.01       1         1           30 
  9    Tract 17.02       1         1            8 
 10    Tract 18.03       1         1           12 
 11    Tract 18.04       1         1           57 
 12    Tract 19.01       1         1           29 
 13    Tract 19.02       1         1           11 
 14    Tract 20.01       1         1           27 
 15    Tract 20.02       1         1           10 
 16    Tract 21.01       1         1           46 
 17    Tract 21.02       1         1           49 
 18    Tract 22.01       1         1           28 
 19    Tract 22.02       1         1           63 
 20    Tract 23.01       1         1           33 
 21    Tract 23.02       1         1            9 
 22    Tract 24          1         1           41 
 23    Tract 25.01       1         1            5 
 24    Tract 25.02       1         1           51 
 25    Tract 26          1         1            1 
 26    Tract 27.01       1         1           27 
 27    Tract 27.02       1         1           16 
 28    Tract 28.01       1         1           62 
 29    Tract 28.02       1         1           36 
 30    Tract 29          1         1           56 
 31    Tract 30          1         1           22 
 32    Tract 31          1         1           14 
 33    Tract 32          1         1           61 
 34    Tract 33.01       1         1           27 
 35    Tract 33.02       1         1           38 
 36    Tract 34          1         1           28 
 37    Tract 35          1         1           37 
 38    Tract 36          1         1           56 
 39    Tract 37          1         1           73 
 40    Tract 38          1         1           73 
 41    Tract 39          1         1           23 
 42    Tract 40.01       1         1            1 
 43    Tract 40.02       1         1            9 
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   2

                                           Total_
Obs      geo2000      _TYPE_    _FREQ_    2004_org

 44    Tract 42.01       1         1           13 
 45    Tract 43          1         1           66 
 46    Tract 44          1         1           20 
 47    Tract 46          1         1           69 
 48    Tract 47          1         1           34 
 49    Tract 48.01       1         1           16 
 50    Tract 48.02       1         1          115 
 51    Tract 49.01       1         1           30 
 52    Tract 49.02       1         1           15 
 53    Tract 50          1         1           95 
 54    Tract 51          1         1            1 
 55    Tract 52.01       1         1          112 
 56    Tract 52.02       1         1            3 
 57    Tract 53.01       1         1            2 
 58    Tract 57.01       1         1            1 
 59    Tract 60.01       1         1          105 
 60    Tract 61          1         1           35 
 61    Tract 63.01       1         1           47 
 62    Tract 64          1         1           14 
 63    Tract 67          1         1            1 
 64    Tract 68.01       1         1           82 
 65    Tract 68.02       1         1           20 
 66    Tract 69          1         1            5 
 67    Tract 70          1         1            2 
 68    Tract 71          1         1           24 
 69    Tract 72          1         1           15 
 70    Tract 73.02       1         1          126 
 71    Tract 73.04       1         1           68 
 72    Tract 74.01       1         1           39 
 73    Tract 74.03       1         1          114 
 74    Tract 74.04       1         1          157 
 75    Tract 74.06       1         1          156 
 76    Tract 74.07       1         1          100 
 77    Tract 74.08       1         1          162 
 78    Tract 74.09       1         1           72 
 79    Tract 75.02       1         1          187 
 80    Tract 75.03       1         1          171 
 81    Tract 75.04       1         1           73 
 82    Tract 76.01       1         1          131 
 83    Tract 76.03       1         1           72 
 84    Tract 76.04       1         1           65 
 85    Tract 76.05       1         1           66 
 86    Tract 77.03       1         1          185 
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   3

                                           Total_
Obs      geo2000      _TYPE_    _FREQ_    2004_org

 87    Tract 77.07       1         1           60 
 88    Tract 77.08       1         1          144 
 89    Tract 77.09       1         1           78 
 90    Tract 78.03       1         1          144 
 91    Tract 78.04       1         1           56 
 92    Tract 78.06       1         1           41 
 93    Tract 78.07       1         1           47 
 94    Tract 78.08       1         1           56 
 95    Tract 78.09       1         1          105 
 96    Tract 79.01       1         1          110 
 97    Tract 79.03       1         1           52 
 98    Tract 80.01       1         1           38 
 99    Tract 80.02       1         1           28 
100    Tract 81          1         1            6 
101    Tract 83.01       1         1            1 
102    Tract 83.02       1         1            4 
103    Tract 84.02       1         1            6 
104    Tract 84.10       1         1           42 
105    Tract 85          1         1           85 
106    Tract 86          1         1            1 
107    Tract 87.01       1         1           63 
108    Tract 87.02       1         1           58 
109    Tract 88.02       1         1          126 
110    Tract 88.03       1         1           59 
111    Tract 88.04       1         1          128 
112    Tract 89.03       1         1          138 
113    Tract 89.04       1         1           92 
114    Tract 89.05       1         1            1 
115    Tract 90          1         1            9 
116    Tract 91.01       1         1           47 
117    Tract 91.02       1         1           70 
118    Tract 92.01       1         1           16 
119    Tract 92.03       1         1           28 
120    Tract 92.04       1         1          280 
121    Tract 93.01       1         1           14 
122    Tract 93.02       1         1            2 
123    Tract 94          1         1           26 
124    Tract 95.01       1         1           87 
125    Tract 95.03       1         1           14 
126    Tract 95.04       1         1           24 
127    Tract 95.05       1         1           10 
128    Tract 95.07       1         1           11 
129    Tract 95.08       1         1           40 
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   4

                                           Total_
Obs      geo2000      _TYPE_    _FREQ_    2004_org

130    Tract 95.09       1         1           21 
131    Tract 96.01       1         1          114 
132    Tract 96.02       1         1           84 
133    Tract 96.03       1         1          133 
134    Tract 96.04       1         1           26 
135    Tract 97          1         1          103 
136    Tract 98.01       1         1           40 
137    Tract 98.02       1         1          117 
138    Tract 98.03       1         1          119 
139    Tract 98.04       1         1          138 
140    Tract 98.06       1         1          514 
141    Tract 98.07       1         1           77 
142    Tract 98.08       1         1           60 
143    Tract 99.01       1         1           15 
144    Tract 99.02       1         1           47 
145    Tract 99.03       1         1           38 
146    Tract 99.04       1         1           50 
147    Tract 99.05       1         1           65 
148    Tract 99.06       1         1           70 
149    Tract 99.07       1         1            5 
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   5

       Total_
        2004_
Obs    notract

 1         191
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   6

        Total_
         2004_
Obs      tract

 1        8349
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   7
File = Hud.Vouchers_sum_tr00

The CONTENTS Procedure

Data Set Name        HUD.VOUCHERS_SUM_TR00                                      Observations           149 
Member Type          DATA                                                       Variables              9   
Engine               V8                                                         Indexes                0   
Created              Wed, Dec 05, 2007 06:15:08 PM                              Observation Length     75  
Last Modified        Wed, Dec 05, 2007 06:15:08 PM                              Deleted Observations   0   
Protection                                                                      Compressed             CHAR
Data Set Type                                                                   Reuse Space            NO  
Label                Housing choice voucher summary, DC, Census tract (2000)    Point to Observations  YES 
Data Representation  WINDOWS_32                                                 Sorted                 NO  
Encoding             wlatin1  Western (Windows)                                                            


                         Engine/Host Dependent Information

Data Set Page Size          4096                                                   
Number of Data Set Pages    4                                                      
Number of Data Set Repairs  0                                                      
File Name                   D:\DCData\Libraries\HUD\Data\vouchers_sum_tr00.sas7bdat
Release Created             9.0101M3                                               
Host Created                WIN_PRO                                                


                                  Alphabetic List of Variables and Attributes
 
#    Variable                   Type    Len    Format      Informat    Label

8    Total_2004                 Num       8                                                                    
6    Total_2004_notract         Num       8    F7.         7.          Total Households with Voucher 12/2004   
5    Total_2004_org             Num       8    F7.         7.          Total Households with Voucher 12/2004   
7    Total_2004_tract           Num       8    F7.         7.          Total Households with Voucher 12/2004   
4    _FREQ_                     Num       8                                                                    
3    _TYPE_                     Num       8                                                                    
9    _add                       Num       8                                                                    
1    _run_total_2004_notract    Num       8                                                                    
2    geo2000                    Char     11    $GEO00A.                Full census tract ID (2000): ssccctttttt
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   8
File = Hud.Vouchers_sum_tr00
Printing first 10 obs.

                                                                      Total_      Total_
        _run_total_                                        Total_      2004_       2004_    Total_
Obs    2004_notract      geo2000      _TYPE_    _FREQ_    2004_org    notract      tract     2004     _add

  1        8337        Tract 98.06       1         1          514         191       8349      526      12 
  2        8330        Tract 92.04       1         1          280         191       8349      287       7 
  3        8325        Tract 75.02       1         1          187         191       8349      192       5 
  4        8320        Tract 77.03       1         1          185         191       8349      190       5 
  5        8316        Tract 75.03       1         1          171         191       8349      175       4 
  6        8312        Tract 74.08       1         1          162         191       8349      166       4 
  7        8308        Tract 74.04       1         1          157         191       8349      161       4 
  8        8304        Tract 74.06       1         1          156         191       8349      160       4 
  9        8300        Tract 77.08       1         1          144         191       8349      148       4 
 10        8296        Tract 78.03       1         1          144         191       8349      148       4 
HUD/Vouchers_2004_dc.sas:  NeighborhoodInfo DC                                         18:14 Wednesday, December 5, 2007   9
File = Hud.Vouchers_sum_tr00

The MEANS Procedure

Variable                     N             Sum            Mean         Std Dev         Minimum         Maximum
--------------------------------------------------------------------------------------------------------------
_run_total_2004_notract    149      1216909.00         8167.17      70.3151911         8073.00         8337.00
_TYPE_                     149     149.0000000       1.0000000               0       1.0000000       1.0000000
_FREQ_                     149     149.0000000       1.0000000               0       1.0000000       1.0000000
Total_2004_org             149         8349.00      56.0335570      62.0138842       1.0000000     514.0000000
Total_2004_notract         149        28459.00     191.0000000               0     191.0000000     191.0000000
Total_2004_tract           149      1244001.00         8349.00               0         8349.00         8349.00
Total_2004                 149         8625.00      57.8859060      63.3390203       2.0000000     526.0000000
_add                       149     276.0000000       1.8523490       1.3525543       1.0000000      12.0000000
--------------------------------------------------------------------------------------------------------------
